Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[genotype]	Comment[replicate]	Characteristics[stimulus]	Characteristics[organism part]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Protocol REF	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Protocol REF	Performer	Derived Array Data File	Factor Value[immunoprecipitate]	Factor Value[genotype]	Factor Value[stimulus]	HTTPS_FASTQ_URI	FASTQ_NAME
WT_1	ERS15538054	SAMEA113541635	Helicobacter pylori	N6	wild type genotype	1	none	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	WT_1	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	WT_1	sequencing assay	ERX10874876	P-MTAB-133088	D_1_2.fq.gz	D_1_2.fq.gz	ERR11468761	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/061/ERR11468761/ERR11468761_1.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	wild type genotype	none	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/061/ERR11468761/ERR11468761_1.fastq.gz	WT_1_R1.fastq.gz
WT_1	ERS15538054	SAMEA113541635	Helicobacter pylori	N6	wild type genotype	1	none	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	WT_1	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	WT_1	sequencing assay	ERX10874876	P-MTAB-133088	D_1_1.fq.gz	D_1_1.fq.gz	ERR11468761	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/061/ERR11468761/ERR11468761_2.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	wild type genotype	none	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/061/ERR11468761/ERR11468761_2.fastq.gz	WT_1_R2.fastq.gz
WT_2	ERS15538055	SAMEA113541636	Helicobacter pylori	N6	wild type genotype	2	none	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	WT_2	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	WT_2	sequencing assay	ERX10874877	P-MTAB-133088	D_2_2.fq.gz	D_2_2.fq.gz	ERR11468762	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/062/ERR11468762/ERR11468762_1.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	wild type genotype	none	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/062/ERR11468762/ERR11468762_1.fastq.gz	WT_2_R1.fastq.gz
WT_2	ERS15538055	SAMEA113541636	Helicobacter pylori	N6	wild type genotype	2	none	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	WT_2	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	WT_2	sequencing assay	ERX10874877	P-MTAB-133088	D_2_1.fq.gz	D_2_1.fq.gz	ERR11468762	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/062/ERR11468762/ERR11468762_2.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	wild type genotype	none	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/062/ERR11468762/ERR11468762_2.fastq.gz	WT_2_R2.fastq.gz
WT_3	ERS15538056	SAMEA113541637	Helicobacter pylori	N6	wild type genotype	3	none	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	WT_3	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	WT_3	sequencing assay	ERX10874878	P-MTAB-133088	D_3_1.fq.gz	D_3_1.fq.gz	ERR11468763	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/063/ERR11468763/ERR11468763_1.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	wild type genotype	none	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/063/ERR11468763/ERR11468763_1.fastq.gz	WT_3_R1.fastq.gz
WT_3	ERS15538056	SAMEA113541637	Helicobacter pylori	N6	wild type genotype	3	none	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	WT_3	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	WT_3	sequencing assay	ERX10874878	P-MTAB-133088	D_3_2.fq.gz	D_3_2.fq.gz	ERR11468763	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/063/ERR11468763/ERR11468763_2.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	wild type genotype	none	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/063/ERR11468763/ERR11468763_2.fastq.gz	WT_3_R2.fastq.gz
WTS_1	ERS15538060	SAMEA113541641	Helicobacter pylori	N6	wild type genotype	1	21 percent oxygen	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	WTS_1	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	WTS_1	sequencing assay	ERX10874882	P-MTAB-133088	D_4_2.fq.gz	D_4_2.fq.gz	ERR11468767	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/067/ERR11468767/ERR11468767_1.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	wild type genotype	21 percent oxygen	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/067/ERR11468767/ERR11468767_1.fastq.gz	WTS_1_R1.fastq.gz
WTS_1	ERS15538060	SAMEA113541641	Helicobacter pylori	N6	wild type genotype	1	21 percent oxygen	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	WTS_1	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	WTS_1	sequencing assay	ERX10874882	P-MTAB-133088	D_4_1.fq.gz	D_4_1.fq.gz	ERR11468767	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/067/ERR11468767/ERR11468767_2.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	wild type genotype	21 percent oxygen	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/067/ERR11468767/ERR11468767_2.fastq.gz	WTS_1_R2.fastq.gz
WTS_2	ERS15538061	SAMEA113541642	Helicobacter pylori	N6	wild type genotype	2	21 percent oxygen	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	WTS_2	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	WTS_2	sequencing assay	ERX10874883	P-MTAB-133088	D_5_2.fq.gz	D_5_2.fq.gz	ERR11468768	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/068/ERR11468768/ERR11468768_1.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	wild type genotype	21 percent oxygen	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/068/ERR11468768/ERR11468768_1.fastq.gz	WTS_2_R1.fastq.gz
WTS_2	ERS15538061	SAMEA113541642	Helicobacter pylori	N6	wild type genotype	2	21 percent oxygen	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	WTS_2	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	WTS_2	sequencing assay	ERX10874883	P-MTAB-133088	D_5_1.fq.gz	D_5_1.fq.gz	ERR11468768	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/068/ERR11468768/ERR11468768_2.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	wild type genotype	21 percent oxygen	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/068/ERR11468768/ERR11468768_2.fastq.gz	WTS_2_R2.fastq.gz
