Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[genotype]	Comment[replicate]	Characteristics[stimulus]	Characteristics[organism part]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Protocol REF	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Protocol REF	Performer	Derived Array Data File	Factor Value[immunoprecipitate]	Factor Value[genotype]	Factor Value[stimulus]
WT_1	ERS15538054	SAMEA113541635	Helicobacter pylori	N6	wild type genotype	1	none	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	WT_1	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	WT_1	sequencing assay	ERX10874876	P-MTAB-133088	D_1_2.fq.gz	D_1_2.fq.gz	ERR11468761	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/061/ERR11468761/ERR11468761_1.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	wild type genotype	none
WT_1	ERS15538054	SAMEA113541635	Helicobacter pylori	N6	wild type genotype	1	none	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	WT_1	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	WT_1	sequencing assay	ERX10874876	P-MTAB-133088	D_1_1.fq.gz	D_1_1.fq.gz	ERR11468761	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/061/ERR11468761/ERR11468761_2.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	wild type genotype	none
WT_2	ERS15538055	SAMEA113541636	Helicobacter pylori	N6	wild type genotype	2	none	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	WT_2	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	WT_2	sequencing assay	ERX10874877	P-MTAB-133088	D_2_2.fq.gz	D_2_2.fq.gz	ERR11468762	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/062/ERR11468762/ERR11468762_1.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	wild type genotype	none
WT_2	ERS15538055	SAMEA113541636	Helicobacter pylori	N6	wild type genotype	2	none	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	WT_2	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	WT_2	sequencing assay	ERX10874877	P-MTAB-133088	D_2_1.fq.gz	D_2_1.fq.gz	ERR11468762	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/062/ERR11468762/ERR11468762_2.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	wild type genotype	none
WT_3	ERS15538056	SAMEA113541637	Helicobacter pylori	N6	wild type genotype	3	none	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	WT_3	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	WT_3	sequencing assay	ERX10874878	P-MTAB-133088	D_3_1.fq.gz	D_3_1.fq.gz	ERR11468763	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/063/ERR11468763/ERR11468763_1.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	wild type genotype	none
WT_3	ERS15538056	SAMEA113541637	Helicobacter pylori	N6	wild type genotype	3	none	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	WT_3	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	WT_3	sequencing assay	ERX10874878	P-MTAB-133088	D_3_2.fq.gz	D_3_2.fq.gz	ERR11468763	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/063/ERR11468763/ERR11468763_2.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	wild type genotype	none
ΔHP1021_1	ERS15538057	SAMEA113541638	Helicobacter pylori	N6	ΔHP1021::aphA-3	1	none	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_1	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_1	sequencing assay	ERX10874879	P-MTAB-133088	R10_D_2.fq.gz	R10_D_2.fq.gz	ERR11468764	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/064/ERR11468764/ERR11468764_1.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	ΔHP1021::aphA-3	none
ΔHP1021_1	ERS15538057	SAMEA113541638	Helicobacter pylori	N6	ΔHP1021::aphA-3	1	none	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_1	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_1	sequencing assay	ERX10874879	P-MTAB-133088	R10_D_1.fq.gz	R10_D_1.fq.gz	ERR11468764	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/064/ERR11468764/ERR11468764_2.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	ΔHP1021::aphA-3	none
ΔHP1021_2	ERS15538058	SAMEA113541639	Helicobacter pylori	N6	ΔHP1021::aphA-3	2	none	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_2	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_2	sequencing assay	ERX10874880	P-MTAB-133088	R11_D_1.fq.gz	R11_D_1.fq.gz	ERR11468765	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/065/ERR11468765/ERR11468765_1.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	ΔHP1021::aphA-3	none
ΔHP1021_2	ERS15538058	SAMEA113541639	Helicobacter pylori	N6	ΔHP1021::aphA-3	2	none	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_2	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_2	sequencing assay	ERX10874880	P-MTAB-133088	R11_D_2.fq.gz	R11_D_2.fq.gz	ERR11468765	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/065/ERR11468765/ERR11468765_2.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	ΔHP1021::aphA-3	none
ΔHP1021_3	ERS15538059	SAMEA113541640	Helicobacter pylori	N6	ΔHP1021::aphA-3	3	none	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_3	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_3	sequencing assay	ERX10874881	P-MTAB-133088	R12_D_2.fq.gz	R12_D_2.fq.gz	ERR11468766	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/066/ERR11468766/ERR11468766_1.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	ΔHP1021::aphA-3	none
ΔHP1021_3	ERS15538059	SAMEA113541640	Helicobacter pylori	N6	ΔHP1021::aphA-3	3	none	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_3	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	ΔHP1021_3	sequencing assay	ERX10874881	P-MTAB-133088	R12_D_1.fq.gz	R12_D_1.fq.gz	ERR11468766	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/066/ERR11468766/ERR11468766_2.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	ΔHP1021::aphA-3	none
WTS_1	ERS15538060	SAMEA113541641	Helicobacter pylori	N6	wild type genotype	1	21 percent oxygen	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	WTS_1	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	WTS_1	sequencing assay	ERX10874882	P-MTAB-133088	D_4_2.fq.gz	D_4_2.fq.gz	ERR11468767	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/067/ERR11468767/ERR11468767_1.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	wild type genotype	21 percent oxygen
WTS_1	ERS15538060	SAMEA113541641	Helicobacter pylori	N6	wild type genotype	1	21 percent oxygen	whole organism	whole organism	P-MTAB-133085	Mateusz Noszka	P-MTAB-133086	Mateusz Noszka	P-MTAB-133087	Novogene Bioinformatics Technology Co. Ltd.	WTS_1	PAIRED	ChIP	GENOMIC	ChIP-Seq	P-MTAB-133088	Novogene Bioinformatics Technology Co. Ltd.	WTS_1	sequencing assay	ERX10874882	P-MTAB-133088	D_4_1.fq.gz	D_4_1.fq.gz	ERR11468767	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/067/ERR11468767/ERR11468767_2.fastq.gz	P-MTAB-133089	Agnieszka Strzałka	P-MTAB-133090	Agnieszka Strzałka	peaks_ChIPseq_N6.bed	anti-HP1021	wild type genotype	21 percent oxygen
