gene_id	WTS_1	WTS_2	WTS_3	WT_1	WT_2	WT_3
gene-OW489_RS00005	1301	1838	1752	1198	1583	974
gene-OW489_RS00010	1316	2817	2641	2957	3602	2697
gene-OW489_RS00015	16	113	78	23	35	24
gene-OW489_RS00020	1028	1357	1208	409	445	389
gene-OW489_RS00025	2432	2694	2685	936	1167	941
gene-OW489_RS00035	370	779	701	449	645	406
gene-OW489_RS00040	63	119	139	300	371	299
gene-OW489_RS00045	13	27	33	33	17	28
gene-OW489_RS00050	24	71	54	59	41	23
gene-OW489_RS00055	21	15	32	83	100	72
gene-OW489_RS00060	18	47	67	30	38	25
gene-OW489_RS00065	587	1679	1719	551	626	532
gene-OW489_RS00075	3446	3811	3935	1783	2308	1734
gene-OW489_RS00080	93	259	333	110	183	111
gene-OW489_RS00085	14806	16807	23976	26384	38771	28918
gene-OW489_RS00090	21	86	121	128	157	98
gene-OW489_RS00095	639	765	873	1377	2141	1290
gene-OW489_RS00100	929	819	885	1407	1560	1388
gene-OW489_RS00105	1286	1471	1448	2121	2601	1842
gene-OW489_RS00110	3732	5631	5978	5230	5662	4831
gene-OW489_RS00115	402	402	527	501	776	550
gene-OW489_RS00120	223	299	405	307	484	201
gene-OW489_RS00125	412	1021	1029	625	989	553
gene-OW489_RS00130	594	699	702	270	415	265
gene-OW489_RS00135	454	701	703	2976	3208	2856
gene-OW489_RS00140	13887	15874	18606	18869	19512	20219
gene-OW489_RS00150	772	1261	1396	229	530	217
gene-OW489_RS00155	2482	2154	2288	914	1367	1036
gene-OW489_RS00160	8612	11363	11469	8865	12732	9136
gene-OW489_RS00165	413	741	676	1052	1345	863
gene-OW489_RS00170	208	447	424	258	320	202
gene-OW489_RS00175	444	431	441	353	512	328
gene-OW489_RS00180	168	319	346	343	350	336
gene-OW489_RS00185	457	417	596	607	1277	646
gene-OW489_RS00190	5445	3832	4380	2386	3252	2103
gene-OW489_RS00195	1837	1893	1927	1792	2839	1614
gene-OW489_RS00200	1006	849	855	913	1032	957
gene-OW489_RS00205	1009	930	877	643	1008	572
gene-OW489_RS00210	675	883	800	416	636	379
gene-OW489_RS00215	112	182	161	74	62	61
gene-OW489_RS00220	238	756	728	521	521	440
gene-OW489_RS00225	1124	1223	1305	1039	1159	956
gene-OW489_RS00230	124	115	85	107	155	104
gene-OW489_RS00235	2502	2055	2062	1867	2453	1679
gene-OW489_RS00240	2596	2766	2665	2186	2628	1992
gene-OW489_RS00245	2071	2313	2197	1585	2148	1325
gene-OW489_RS00250	1362	1622	1514	932	1086	927
gene-OW489_RS00255	314	427	336	272	322	255
gene-OW489_RS00260	1073	903	781	832	936	767
gene-OW489_RS00265	261	425	413	368	625	353
gene-OW489_RS00270	135	144	157	106	92	95
gene-OW489_RS00275	160	153	157	62	77	57
gene-OW489_RS00285	289	453	438	405	557	421
gene-OW489_RS00290	1187	1538	1459	1592	2017	1427
gene-OW489_RS00295	10101	10135	11742	18657	20087	20819
gene-OW489_RS00300	2789	3362	3754	3220	5468	3366
gene-OW489_RS00305	88	122	144	88	113	112
gene-OW489_RS00310	948	1511	1617	765	877	825
gene-OW489_RS00315	668	544	530	493	837	502
gene-OW489_RS00320	170	282	310	317	415	420
gene-OW489_RS00325	1413	1352	1526	1710	2702	1645
gene-OW489_RS00330	1483	1474	1571	1403	1819	1280
gene-OW489_RS00335	372	293	259	3625	4534	3164
gene-OW489_RS00340	2314	2320	2687	8492	12494	8110
gene-OW489_RS00345	690	594	546	1423	1507	1523
gene-OW489_RS00350	362	513	531	1258	1342	1197
gene-OW489_RS00355	5565	5044	5213	3504	3940	3707
gene-OW489_RS00360	4278	6173	6101	9421	7244	9758
gene-OW489_RS00365	1595	2681	2780	3775	3717	3701
gene-OW489_RS00370	7236	7694	8369	9847	13876	9077
gene-OW489_RS00375	437	836	767	248	257	172
gene-OW489_RS00380	1723	2531	2331	442	630	440
gene-OW489_RS00385	1097	2041	2190	737	1061	556
gene-OW489_RS00390	3619	4662	4618	1712	2493	1453
gene-OW489_RS00395	1072	1502	1518	286	416	267
gene-OW489_RS00400	6874	7522	8102	2602	3995	2597
gene-OW489_RS00405	294	574	554	441	518	392
gene-OW489_RS00410	3219	3929	4145	3887	4917	3575
gene-OW489_RS00415	5118	5733	5955	6052	7340	5645
gene-OW489_RS00420	949	2418	2440	1454	1723	1187
gene-OW489_RS00425	1227	1047	1074	953	1361	997
gene-OW489_RS00430	552	817	841	1336	1854	1310
gene-OW489_RS00435	3696	2606	2921	4421	4393	4119
gene-OW489_RS00440	410	782	883	395	606	394
gene-OW489_RS00470	1436	1167	1322	1151	1228	1163
gene-OW489_RS00475	663	944	1034	723	1027	763
gene-OW489_RS00485	124	1824	1939	1676	1349	1506
gene-OW489_RS00490	3764	4919	4942	1759	2320	1683
gene-OW489_RS00495	13996	12437	12949	5630	7098	4998
gene-OW489_RS00500	3479	2946	2920	722	1001	766
gene-OW489_RS00505	3280	3913	3914	813	1101	635
gene-OW489_RS00510	5230	55026	54968	127841	91581	104655
gene-OW489_RS00515	126	202	140	189	181	128
gene-OW489_RS00520	59	112	74	78	117	58
gene-OW489_RS00525	9146	8191	8377	12943	16603	12234
gene-OW489_RS00530	1832	1555	1610	1741	2261	1448
gene-OW489_RS00535	497	534	614	541	936	474
gene-OW489_RS00540	120	157	208	243	343	201
gene-OW489_RS00545	36	27	43	33	57	55
gene-OW489_RS00550	1	17	15	9	12	7
gene-OW489_RS00555	5	10	10	1	6	5
gene-OW489_RS00560	242	371	341	179	251	166
gene-OW489_RS00565	61	73	71	47	64	36
gene-OW489_RS00570	478	912	979	1038	1362	900
gene-OW489_RS00575	187	275	265	710	757	655
gene-OW489_RS00605	523	605	667	1267	2391	1227
gene-OW489_RS00610	157	173	235	502	715	523
gene-OW489_RS00615	577	1355	1429	1533	2117	1292
gene-OW489_RS00620	200	565	540	1068	1371	862
gene-OW489_RS00630	12528	10962	11434	15399	20219	13722
gene-OW489_RS00635	16754	13610	14341	26381	26223	25059
gene-OW489_RS00640	10295	7624	8490	13519	20964	12524
gene-OW489_RS00645	108	92	87	50	61	51
gene-OW489_RS00655	1213	1470	1395	2005	2285	1906
gene-OW489_RS00660	211	120	161	214	259	202
gene-OW489_RS00665	2425	2516	2718	4099	5912	4052
gene-OW489_RS00670	212	169	225	191	376	229
gene-OW489_RS00675	117	185	209	285	327	339
gene-OW489_RS00680	817	1221	1411	1288	2133	1265
gene-OW489_RS00685	546	447	523	320	498	311
gene-OW489_RS00695	750	974	819	119	199	104
gene-OW489_RS00700	124	235	212	34	40	36
gene-OW489_RS00705	339	488	389	98	85	74
gene-OW489_RS00710	955	1355	1261	808	895	749
gene-OW489_RS00715	2313	3331	3434	4019	5095	3684
gene-OW489_RS00720	2604	2592	2589	2818	3669	3062
gene-OW489_RS00725	711	546	502	911	1212	825
gene-OW489_RS00730	169	210	188	195	309	185
gene-OW489_RS00735	141	304	354	448	708	399
gene-OW489_RS00740	3	12	6	4	2	0
gene-OW489_RS00745	27	48	48	22	11	21
gene-OW489_RS00750	1	10	12	1	4	3
gene-OW489_RS00755	685	1731	1644	421	565	426
gene-OW489_RS00760	718	1693	1834	575	816	571
gene-OW489_RS00770	1398	1432	1757	2517	4060	2586
gene-OW489_RS00775	9951	8893	9727	12805	18235	11943
gene-OW489_RS00780	841	6723	7580	12208	14906	12481
gene-OW489_RS08175	13	7	1	38	24	26
gene-OW489_RS00815	12	11	5	41	34	35
gene-OW489_RS00830	1514	856	737	872	1324	869
gene-OW489_RS00835	9886	4727	4906	5425	6091	5220
gene-OW489_RS00840	496	805	864	508	556	413
gene-OW489_RS00845	6417	5255	6086	5582	8212	5259
gene-OW489_RS00850	23208	16069	18040	15459	24416	14737
gene-OW489_RS00855	60055	42814	47391	67388	117511	55577
gene-OW489_RS00860	18374	16286	15926	23832	27766	21425
gene-OW489_RS00870	97	182	206	97	90	98
gene-OW489_RS00875	1377	1379	1391	1186	1458	1086
gene-OW489_RS00880	857	5012	4695	4807	4245	3787
gene-OW489_RS00885	5663	5808	5469	383	568	431
gene-OW489_RS00890	351	478	595	682	741	596
gene-OW489_RS00900	3441	5338	5545	5464	7077	4981
gene-OW489_RS00910	9217	5865	6187	1310	1281	1485
gene-OW489_RS00915	7300	9357	10785	1957	2794	2029
gene-OW489_RS00920	261	301	352	411	532	325
gene-OW489_RS00925	6658	7226	7778	8755	12249	7979
gene-OW489_RS00930	1776	2420	2423	2983	3896	2660
gene-OW489_RS00935	9980	9627	10522	20723	26306	19623
gene-OW489_RS00940	423	539	549	203	291	258
gene-OW489_RS00945	12091	6908	7346	11390	14899	13954
gene-OW489_RS00950	2877	12019	11998	10812	9176	8374
gene-OW489_RS00960	252	243	303	105	113	65
gene-OW489_RS00965	266	234	221	58	76	51
gene-OW489_RS00970	213	320	338	153	176	121
gene-OW489_RS00975	168	283	282	233	324	233
gene-OW489_RS00980	1700	1411	1491	1406	1491	1283
gene-OW489_RS00985	6093	8141	7965	5820	7269	5618
gene-OW489_RS00990	1150	1410	1375	1631	2187	1524
gene-OW489_RS00995	5648	5658	6178	8534	12286	8432
gene-OW489_RS01000	2742	1882	2009	2481	3943	2427
gene-OW489_RS01005	55	81	89	41	52	25
gene-OW489_RS01010	309	547	557	63	98	54
gene-OW489_RS01030	78	141	141	99	123	81
gene-OW489_RS01035	1057	967	968	1872	1857	1941
gene-OW489_RS01040	299	271	359	504	699	489
gene-OW489_RS01045	163	90	141	130	215	155
gene-OW489_RS01050	12	10	11	17	32	16
gene-OW489_RS01055	241	261	481	3811	14230	3218
gene-OW489_RS01060	221	123	191	1700	3353	1681
gene-OW489_RS01065	1529	713	852	8882	19691	8689
gene-OW489_RS01070	1267	1456	1342	982	1147	908
gene-OW489_RS01075	227	611	579	906	1022	792
gene-OW489_RS01080	6182	6797	8827	1540	3124	1368
gene-OW489_RS01085	5533	6173	8937	2925	4677	2757
gene-OW489_RS01090	825	1168	1162	1869	2201	1670
gene-OW489_RS01095	508	436	469	722	915	560
gene-OW489_RS01100	10	24	26	30	61	28
gene-OW489_RS01105	2317	1940	2674	3878	7619	3797
gene-OW489_RS01110	8488	9076	9006	4513	5333	4459
gene-OW489_RS01115	3023	4282	4228	2070	2209	1908
gene-OW489_RS01120	469	1219	1086	698	775	727
gene-OW489_RS01125	11465	9727	9640	5179	5860	5454
gene-OW489_RS01130	30449	30866	31162	23352	27933	22576
gene-OW489_RS01140	16596	16525	16517	11084	10511	10583
gene-OW489_RS01145	469	417	495	583	821	579
gene-OW489_RS01150	695	755	765	892	1269	882
gene-OW489_RS01155	3165	1859	1805	2620	2853	2736
gene-OW489_RS01160	65	135	148	97	189	89
gene-OW489_RS01165	2556	2403	2673	4186	6107	3497
gene-OW489_RS01170	2862	2142	2347	3741	4825	3689
gene-OW489_RS01175	5220	4851	5422	8548	11753	7699
gene-OW489_RS01180	1911	1748	1819	2186	2653	2303
gene-OW489_RS01185	11751	8833	9048	2377	3615	2244
gene-OW489_RS01190	9584	8986	9392	2727	3895	2358
gene-OW489_RS01195	204	288	313	134	197	114
gene-OW489_RS01200	1135	787	684	647	727	627
