# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "2" "-p" "--countReadPairs" "-B" "-C" "-s" "2" "-t" "gene" "-g" "ID" "-a" "reference_genome/annotation.gff3" "-o" "results/day2_rnaseq/counts/featureCounts_all_samples.txt" "results/day2_rnaseq/bam/WTS_1.filtered.bam" "results/day2_rnaseq/bam/WTS_2.filtered.bam" "results/day2_rnaseq/bam/WTS_3.filtered.bam" "results/day2_rnaseq/bam/WT_1.filtered.bam" "results/day2_rnaseq/bam/WT_2.filtered.bam" "results/day2_rnaseq/bam/WT_3.filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	results/day2_rnaseq/bam/WTS_1.filtered.bam	results/day2_rnaseq/bam/WTS_2.filtered.bam	results/day2_rnaseq/bam/WTS_3.filtered.bam	results/day2_rnaseq/bam/WT_1.filtered.bam	results/day2_rnaseq/bam/WT_2.filtered.bam	results/day2_rnaseq/bam/WT_3.filtered.bam
gene-OW489_RS00005	NZ_AP026446.1	101	1468	+	1368	1301	1838	1752	1198	1583	974
gene-OW489_RS00010	NZ_AP026446.1	1689	3122	+	1434	1316	2817	2641	2957	3602	2697
gene-OW489_RS00015	NZ_AP026446.1	3125	3200	-	76	16	113	78	23	35	24
gene-OW489_RS00020	NZ_AP026446.1	3300	4052	+	753	1028	1357	1208	409	445	389
gene-OW489_RS00025	NZ_AP026446.1	4049	4684	-	636	2432	2694	2685	936	1167	941
gene-OW489_RS00030	NZ_AP026446.1	4688	5041	-	354	2	0	1	3	0	1
gene-OW489_RS00035	NZ_AP026446.1	5123	6994	+	1872	370	779	701	449	645	406
gene-OW489_RS00040	NZ_AP026446.1	7037	8431	+	1395	63	119	139	300	371	299
gene-OW489_RS00045	NZ_AP026446.1	8428	9009	+	582	13	27	33	33	17	28
gene-OW489_RS00050	NZ_AP026446.1	9012	11927	+	2916	24	71	54	59	41	23
gene-OW489_RS00055	NZ_AP026446.1	12033	15578	+	3546	21	15	32	83	100	72
gene-OW489_RS00060	NZ_AP026446.1	16017	17669	+	1653	18	47	67	30	38	25
gene-OW489_RS00065	NZ_AP026446.1	17867	18304	+	438	587	1679	1719	551	626	532
gene-OW489_RS00075	NZ_AP026446.1	19289	20476	-	1188	3446	3811	3935	1783	2308	1734
gene-OW489_RS00080	NZ_AP026446.1	20564	21724	-	1161	93	259	333	110	183	111
gene-OW489_RS00085	NZ_AP026446.1	21949	24588	-	2640	14806	16807	23976	26384	38771	28918
gene-OW489_RS00090	NZ_AP026446.1	24742	25068	-	327	21	86	121	128	157	98
